GADM_ID;GADM_ISO;GADM_NAME;DEGURBA_L1;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030
15;AUS;Australia;UC;5919536.894;6685816.728;7387730.088;7989934.418;8660555.865;8987964.264;9623873.256;10819262.88;12299832.52;14055362.83;15420565.16;16606424.22
15;AUS;Australia;UCL;4538037.02;4505605.763;4730580.559;5237219.596;5482487.085;5933302.002;6336214.01;6871736.527;7087175.936;7081552.932;6919800.264;6940504.867
15;AUS;Australia;RUR;3427537.651;3513331.583;3665755.924;3819153.111;3858622.107;4095237.471;4210472.715;4327175.758;4432581.718;4532413.228;4616593.635;4654069.893
16;AUT;Austria;UC;2286497.722;2245225.721;2257989.289;2262860.374;2271852.323;2264492.255;2391198.186;2542216.938;2692261.005;2920725.465;3080312.385;3177625.622
16;AUT;Austria;UCL;1635645.566;1647990.977;1657619.126;1717019.354;1896870.96;2008045.301;2121752.767;2137678.672;2267095.011;2304522.2;2256583.98;2235165.663
16;AUT;Austria;RUR;3649067.815;3648936.012;3641316.428;3693633.176;3773315.371;3732969.679;3709442.439;3678910.821;3679342.024;3678963.228;3654268.981;3639282.709
17;AZE;Azerbaijan;UC;1757228.845;2050131.016;2281823.953;2478151.452;2608734.497;2731805.04;2917055.547;3499695.588;3905761.544;4231587.124;4384257.279;4662583.048
17;AZE;Azerbaijan;UCL;2349615.223;2465190.698;2633906.1;2905450.419;3178425.924;3360980.103;3589663.465;3545280.778;3698437.535;3811392.627;3846652.157;3756652.686
17;AZE;Azerbaijan;RUR;1767134.077;1810366.475;1913443.232;1977667.546;2031982.811;2024649.566;2074091.123;2111902.087;2174462.955;2155340.851;2190400.168;2201722.933
18;BDI;Burundi;UC;173946.1802;222962.7081;284960.5043;323949.991;432257.4037;601510.4044;876745.992;1294882.777;1584656.67;1866809.671;2272096.561;2902834.452
18;BDI;Burundi;UCL;1607134.357;1984993.509;2455428.505;2851680.955;3133966.141;3313963.373;3909074.825;5247313.263;6788294.775;8339238.423;10080227.17;11579202.38
18;BDI;Burundi;RUR;1967960.202;2104840.473;2208174.456;2309250.185;2367727.525;2393402.432;2603789.629;2583288.578;2352062.281;2012059.131;1593105.592;1314567.809
19;BEL;Belgium;UC;2483316.697;2662876.402;2766470.064;2826966.266;2887847.685;3002425.865;3218491.54;3365495.307;3573171.024;3723907.128;3859158.79;3869437.217
19;BEL;Belgium;UCL;4729341.244;4640573.535;4596154.506;4625364.94;4749521.064;4800307.733;4811305.376;5009572.042;5169834.973;5337253.775;5369301.424;5481162.775
19;BEL;Belgium;RUR;2544689.65;2520688.521;2513827.684;2503737.536;2455593.421;2460507.977;2486570.512;2502246.117;2504658.397;2499755.885;2515099.853;2521835.673
20;BEN;Benin;UC;579784.9333;755646.7781;1000821.787;1237203.596;1549011.695;1985400.79;2474122.546;3047554.506;4078970.821;4964940.764;5739833.835;6735445.808
20;BEN;Benin;UCL;1418425.353;1522431.788;1678462.444;2016828.499;2392424.046;2708685.806;3148349.012;3616340.109;3772754.634;4152154.02;4711045.937;5254958.183
20;BEN;Benin;RUR;1375798.428;1551882.581;1736039.436;1874664.141;2098762.557;2296329.395;2517702.421;2770602.183;3067282.493;3509996.992;3985649.891;4384637.321
21;BES;Bonaire, Sint Eustatius and Saba;UC;0;0;0;0;0;0;0;0;0;0;0;0
21;BES;Bonaire, Sint Eustatius and Saba;UCL;0;0;5323.247982;6032.981984;7167.532837;7679.101932;10222.38165;12662.8469;13901.18003;16366.85034;17101.47816;17029.07588
21;BES;Bonaire, Sint Eustatius and Saba;RUR;10645.99998;11542.99997;6739.752021;6571.018024;6038.467164;6280.898057;6501.618357;7561.153097;9262.819956;9786.149673;10297.52185;10874.92416
22;BFA;Burkina Faso;UC;331275.6238;512979.926;705226.4705;866235.5848;1282867.188;1802575.923;2646278.678;3440431.126;4522562.505;5370249.415;6512137.582;7850867.107
22;BFA;Burkina Faso;UCL;1379781.923;1628579.153;2019102.362;2506372.481;2969682.347;3535959.143;3915624.921;4430419.175;4790413.127;5251679.455;5888329.11;6561275.873
22;BFA;Burkina Faso;RUR;4401436.558;4765548.215;5228512.724;5729583.986;6069907.32;6511486.843;7281467.863;8210524.37;9364342.768;10853086.23;11978364.85;13044568.53
23;BGD;Bangladesh;UC;24100572.97;25481636.8;28416152.56;32944434.34;40067709.46;48830481.49;57703176.63;63468483.1;71568948.75;80234643.21;90556239.03;100665981.1
23;BGD;Bangladesh;UCL;40393495.3;49333638.69;60187130.1;67929135.99;71782469.87;74817475.41;78003193.62;80094623.03;81943469.98;83495928.15;82313579.06;80383099.44
23;BGD;Bangladesh;RUR;10046570.18;8946039.638;7179752.097;6088088.826;5742200.917;5327125.79;4962210.153;4565945.159;4027746.602;3371031.468;3216125.993;3026076.492
24;BGR;Bulgaria;UC;2794106.827;2803052.598;2830238.046;2739424.381;2613621.128;2508628.052;2377940.851;2359144.204;2287577.432;2167283.467;1948292.666;1918391.042
24;BGR;Bulgaria;UCL;2518131.587;2631148.416;2619924.592;2613401.243;2540945.195;2388248.346;2324681.12;2206164.572;2115553.852;2019559.137;1958528.464;1800308.233
24;BGR;Bulgaria;RUR;3526638.917;3524940.069;3446637.552;3395551.399;3304220.404;3182992.416;3095767.799;3011013.111;2891365.277;2778849.194;2646260.342;2560324.239
25;BHR;Bahrain;UC;105730.0955;194734.5647;294735.8446;348909.5507;449513.0131;613889.6439;800735.2523;1083881.547;1209483.759;1324248.386;1361833.134;1426269.963
25;BHR;Bahrain;UCL;164213.105;151094.1399;120809.7261;154712.6285;147118.875;78341.20853;83498.65824;102927.1391;121213.6571;121294.8274;116586.3229;114217.8698
25;BHR;Bahrain;RUR;15131.34095;16700.18914;18739.104;13674.07749;16166.5616;19070.7863;17530.19854;26663.39993;31356.39318;32031.90192;33428.64931;34372.2114
26;BHS;Bahamas;UC;71332.04336;94304.3976;133192.8545;150390.1286;167107.0641;189539.3201;204652.1009;219839.5418;234044.9456;252204.8557;261235.2051;269955.4579
26;BHS;Bahamas;UCL;67797.03694;63193.08254;43248.03472;53521.56755;57593.47629;57946.18536;61017.13427;82455.86629;85438.14464;82802.12724;84564.65296;85467.49005
26;BHS;Bahamas;RUR;62751.91972;66254.5198;69494.11068;66767.30378;74853.45954;77528.49455;82134.76486;70976.59181;73213.90966;71464.01718;71990.14201;74423.052
27;BIH;Bosnia and Herzegovina;UC;752933.9964;897436.984;918769.4469;930784.4019;682297.9143;826503.2405;785832.9455;688789.0606;576995.9059;541662.2481;512326.7479;506282.0063
27;BIH;Bosnia and Herzegovina;UCL;1171771.442;1151472.661;1250713.001;1315012.589;1121724.219;1308617.005;1337950.165;1284500.337;1259593.727;1154208.019;1112161.146;1065550.756
27;BIH;Bosnia and Herzegovina;RUR;2088680.753;2142207.724;2204824.028;2239570.601;1942246.301;2036605.098;1963270.562;1831935.153;1683287.363;1618562.176;1553459.244;1536655.278
28;BLM;Saint-Barthelemy;UC;0;0;0;0;0;0;0;0;0;0;0;0
28;BLM;Saint-Barthelemy;UCL;0;0;0;0;0;5740.794255;6748.047657;7516.138448;8330.571166;9315.966185;9614.068295;9585.239037
28;BLM;Saint-Barthelemy;RUR;2575.000001;2983.000002;4016;5168.000003;6143.999996;1341.205749;1295.952341;1471.861627;1312.428828;1365.03381;1428.931692;1527.760944
29;BLR;Belarus;UC;3569649.859;4050115.559;4399274.143;4688249.698;4797013.482;4780469.151;4892099.446;4941058.396;5115961.447;5338952.446;5227846.589;5191512.898
29;BLR;Belarus;UCL;2418638.616;2300870.38;2285962.298;2275110.644;2336358.972;2387143.128;2166412.497;2071963.419;1963699.879;1799069.016;1760372.173;1637342.4
29;BLR;Belarus;RUR;3515582.947;3469523.899;3451406.692;3468666.426;3331899.605;3092464.262;2880160.556;2721809.334;2624253.167;2499011.981;2427707.585;2380613.642
30;BLZ;Belize;UC;0;0;0;0;0;0;54796.45392;64781.51662;71769.14695;72848.97013;76330.51281;80611.73037
30;BLZ;Belize;UCL;58011.1005;57216.80597;70735.01344;86183.47425;115592.7814;143727.5893;112098.4431;126311.5295;136529.3915;148646.0187;163678.136;172365.7481
30;BLZ;Belize;RUR;72203.35997;87246.86703;91889.19369;95498.14254;86662.95432;94966.95046;111501.8214;128763.8716;149372.0705;172273.702;181702.349;196970.5684
31;BMU;Bermuda;UC;0;0;0;0;0;0;0;0;0;0;0;0
31;BMU;Bermuda;UCL;49225.06103;49288.34951;51365.10384;52781.28411;54298.94934;60436.68822;62012.61237;62461.93268;62135.5092;63009.12137;62733.10083;61752.10398
31;BMU;Bermuda;RUR;4030.938942;4276.650447;4245.896215;4688.715891;5166.050675;934.3118152;946.3876458;985.0673221;1008.490813;1021.87859;1044.899133;1053.896028
32;BOL;Bolivia;UC;1365360.703;1678674.02;2102076.032;2605790.833;3370678.203;4020347.476;4658390.46;5231800.896;5792934.587;6573784.059;7147955.745;7732850.485
32;BOL;Bolivia;UCL;1151495.534;1294546.681;1378478.399;1465688.136;1423642.309;1526534.544;1608661.145;1737170.079;1924129.475;1977768.241;2079841.353;2231300.65
32;BOL;Bolivia;RUR;2629485.442;2782062.052;2925524.321;3046378.874;3072959.742;3074988.276;3140127.086;3284876.168;3404964.764;3417979.982;3550617.484;3691806.696
33;BRA;Brazil;UC;36213564.93;47279379.23;56633750.6;67030567.52;77483102.43;87459085.24;94996329.53;102812933.6;110672526.3;116494145.3;120740773.4;124013010.5
33;BRA;Brazil;UCL;38758975.4;40406551.74;43408498.4;45272093.07;46304238.96;47655593.4;49929025.63;51045305.5;51456842.94;52730634.93;53436361.97;54516375.96
33;BRA;Brazil;RUR;33707322.22;34582625.08;36720230.09;38383718.15;39709455.8;40742726.15;41857575.88;42483365.81;43050742.13;43967392.1;44626805.39;45385849.75
34;BRB;Barbados;UC;121056.2982;124199.3052;128991.1931;126331.4376;125528.9061;123220.3273;126203.7419;126557.5634;125897.2869;152414.4836;152912.0999;153863.7952
34;BRB;Barbados;UCL;96748.746;96935.59004;97291.26029;100554.1527;104216.5438;108613.9027;104947.4987;107392.5151;105169.0247;89967.01087;91324.00222;88997.29021
34;BRB;Barbados;RUR;29284.95573;32440.10475;31628.54653;31982.40974;32557.55021;32822.77005;38325.75966;40760.92136;47016.68831;38311.50553;38343.89781;40220.91471
35;BRN;Brunei;UC;0;0;0;0;0;0;0;55227.93445;120202.0261;131678.6685;146320.0968;151753.2482
35;BRN;Brunei;UCL;97173.10434;123822.2366;147411.729;186323.7099;225228.1662;253238.7542;282929.4838;264659.9473;221532.8044;230637.2847;237016.21;244802.7966
35;BRN;Brunei;RUR;62420.9718;64036.77783;74599.9417;75461.34717;73724.99194;80535.70872;83616.91446;75968.28703;79470.5084;79112.98444;75459.628;76494.13324
36;BTN;Bhutan;UC;79272.07537;80680.60788;81231.14867;82642.39236;75033.41482;133300.7521;149931.8627;157804.2188;155945.4572;140743.1161;76648.17601;76824.84314
36;BTN;Bhutan;UCL;29653.31281;45559.13808;61338.98233;91171.96647;102826.8762;70351.9473;94653.2656;106116.1135;119947.8409;133310.5666;197499.5175;201255.2735
36;BTN;Bhutan;RUR;313056.5767;359896.103;411984.8293;454769.3548;416474.9815;445549.2194;482645.1056;506285.9638;532307.3083;563127.8815;585340.0958;605038.4804
37;BVT;Bouvet Island;UC;0;0;0;0;0;0;0;0;0;0;0;0
37;BVT;Bouvet Island;UCL;0;0;0;0;0;0;0;0;0;0;0;0
37;BVT;Bouvet Island;RUR;0;0;0;0;0;0;0;0;0;0;0;0
38;BWA;Botswana;UC;0;0;54093.93059;53771.78344;171532.063;248029.9021;332573.4909;494346.5032;483378.5717;648581.8098;766735.6337;835974.0043
38;BWA;Botswana;UCL;389334.7202;549443.743;660121.3995;804815.1944;849715.0527;929953.5319;960874.0922;962425.0655;1137045.596;1151041.201;1176205.302;1240675.96
38;BWA;Botswana;RUR;339312.5915;389621.3675;425040.8573;483425.4356;522900.6668;549585.0465;599954.0325;635498.9135;685560.0089;747361.546;820602.7714;895358.6914
39;CAF;Central African Republic;UC;374314.4835;427818.0633;483208.2068;551686.4097;676867.4734;766821.3307;907081.6025;1120981.105;1214381.142;1343717.006;1676128.905;2223507.941
39;CAF;Central African Republic;UCL;758329.3133;750339.9892;734420.337;803268.0295;968198.0498;1171151.307;1332338.279;1433768.413;1463216.19;1700543.661;1893141.067;2093365.87
39;CAF;Central African Republic;RUR;1157216.619;1243475.374;1342522.845;1462349.548;1640071.559;1829648.837;1979198.393;2116548.277;2154455.265;2311825.01;2541180.567;2800315.012
